,Followers,NEAR,AVAX,ETH,MATIC,SOL
January 2022,"301,473",,,,,
February 2022,"322,667","21,194","41,740","83,980","79,486","102,682"
March 2022,"363,475","40,808","34,306","42,286","80,036","64,985"
April 2022,"437,341","73,866","37,802","130,646","76,464","76,473"
May 2022,"531,809","94,468","24,702","151,011","66,014","208,924"
June 2022,"572,503","40,694","9,298","65,542","31,145","65,424"
July 2022,"581,993","9,490","7,897","72,312","38,178","54,821"
August 2022,"597,064","15,071","26,349","90,831","37,461","46,035"
September 2022,"638,264","41,200","16,974","75,915","30,918","27,514"
October 2022,"791,338","153,074","37,394","85,835","43,961","20,270"
November 2022,"928,282","136,944","21,275","51,526","70,006","85,076"
December 2022,"1,108,752","180,470","20,669","32,352","27,229","12,278"
January 2023,"1,281,422","172,670","14,890","19,492","39,308","38,279"
February 2023,"1,462,223","180,801","30,889","-3,454","24,085","15,585"
March 2023,"1,506,522",,,,,
